Volume,Year,DOI,Journal,Title,Issue-info,toc_href,Authors,Image,article-link
27,2015,10.1021/acs.chemmater.5b02784,Chem. Mater.,Thermoelectric Properties of Ba<sub>1.9</sub>Ca<sub>2.4</sub>Mg<sub>9.7</sub>Si<sub>7</sub>: A New Silicide Zintl Phase with the Zr<sub>2</sub>Fe<sub>12</sub>P<sub>7</sub> Structure Type," (19), pp 6708–6716",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-19/acs.chemmater.5b02784/20151007/images/large/cm-2015-02784d_0009.jpeg,"Kurt Silsby, Fan Sui, Xiaowei Ma, Susan M. Kauzlarich, and Susan E. Latturner",/pb-assets/images/selects/cmatex/20160420/acschemmater5b02784.jpeg,/doi/abs/10.1021/acs.chemmater.5b02784
27,2015,10.1021/acs.chemmater.5b01179,Chem. Mater.,Computational Exploration of the Binary A<sub>1</sub>B<sub>1</sub> Chemical Space for Thermoelectric Performance," (18), pp 6213–6221",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-18/acs.chemmater.5b01179/20150916/images/large/cm-2015-01179b_0009.jpeg,"Prashun Gorai, Philip Parilla, Eric S. Toberer, and Vladan Stevanović*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b01179.jpeg,/doi/abs/10.1021/acs.chemmater.5b01179
27,2015,10.1021/acs.chemmater.5b01389,Chem. Mater.,Boosting Thermoelectric Performance by Controlled Defect Chemistry Engineering in Ta-Substituted Strontium Titanate," (14), pp 4995–5006",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-14/acs.chemmater.5b01389/20150722/images/large/cm-2015-01389s_0006.jpeg,"Aleksey A. Yaremchenko, Sascha Populoh, Sónia G. Patrício, Javier Macías, Philipp Thiel, Duncan P. Fagg, Anke Weidenkaff, Jorge R. Frade, and Andrei V. Kovalevsky*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b01389.jpeg,/doi/abs/10.1021/acs.chemmater.5b01389
27,2015,10.1021/acs.chemmater.5b01592,Chem. Mater.,"Twisted Kelvin Cells and Truncated Octahedral Cages in the Crystal Structures of Unconventional Clathrates, AM<sub>2</sub>P<sub>4</sub> (A = Sr, Ba; M = Cu, Ni)"," (12), pp 4476–4484",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-12/acs.chemmater.5b01592/20150617/images/large/cm-2015-01592g_0008.jpeg,"Juli-Anna Dolyniuk, Jian Wang, Kathleen Lee, and Kirill Kovnir*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b01592.jpeg,/doi/abs/10.1021/acs.chemmater.5b01592
27,2015,10.1021/acs.chemmater.5b01071,Chem. Mater.,Kinetically Controlled Site-Specific Substitutions in Higher-Order Heterostructures," (11), pp 4066–4072",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-11/acs.chemmater.5b01071/20150603/images/large/cm-2015-01071s_0010.jpeg,"Devin R. Merrill, Duncan R. Sutherland, Jeffrey Ditto, Sage R. Bauers, Matthias Falmbigl, Douglas L. Medlin, and David C. Johnson*",/pb-assets/images/selects/cmatex/20160420/acschemmater5b01071.jpeg,/doi/abs/10.1021/acs.chemmater.5b01071
27,2015,10.1021/cm504436v,Chem. Mater.,"Synthesis, Structure, Thermoelectric Properties, and Band Gaps of Alkali Metal Containing Type I Clathrates: A<sub>8</sub>Ga<sub>8</sub>Si<sub>38</sub> (A = K, Rb, Cs) and K<sub>8</sub>Al<sub>8</sub>Si<sub>38</sub>"," (8), pp 2812–2820",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-8/cm504436v/20150422/images/large/cm-2014-04436v_0011.jpeg,"Fan Sui, Hua He, Svilen Bobev, Jing Zhao, Frank E. Osterloh, and Susan M. Kauzlarich*",/pb-assets/images/selects/cmatex/20160420/cm504436v.jpeg,/doi/abs/10.1021/cm504436v
27,2015,10.1021/cm5045682,Chem. Mater.,"Metal Distributions, Efficient n-Type Doping, and Evidence for in-Gap States in TiNiM<sub><i>y</i></sub>Sn (M = Co, Ni, Cu) half-Heusler Nanocomposites"," (7), pp 2449–2459",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-7/cm5045682/20150408/images/large/cm-2014-045682_0010.jpeg,"Ruth A. Downie, Ronald I. Smith, Donald A. MacLaren, and Jan-Willem G. Bos*",/pb-assets/images/selects/cmatex/20160420/cm5045682.jpeg,/doi/abs/10.1021/cm5045682
27,2015,10.1021/acs.chemmater.5b00025,Chem. Mater.,Thermoelectric Properties of <i>p</i>-Type Clathrate Ba<sub>8.0</sub>Ga<sub>15.9</sub>Zn<sub><i>y</i></sub>Sn<sub>30.1</sub> Single Crystals with Various Carrier Concentrations," (5), pp 1830–1836",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-5/acs.chemmater.5b00025/20150304/images/large/cm-2015-00025k_0006.jpeg,"Baoli Du*, Yuta Saiga, Kousuke Kajisa, and Toshiro Takabatake",/pb-assets/images/selects/cmatex/20160420/acschemmater5b00025.jpeg,/doi/abs/10.1021/acs.chemmater.5b00025
27,2015,10.1021/cm5042937,Chem. Mater.,Thermoelectric Enhancement in BaGa<sub>2</sub>Sb<sub>2</sub> by Zn Doping," (5), pp 1622–1630",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-5/cm5042937/20150304/images/large/cm-2014-042937_0012.jpeg,"Umut Aydemir*, Alex Zevalkink, Alim Ormeci, Zachary M. Gibbs, Sabah Bux, and G. Jeffrey Snyder",/pb-assets/images/selects/cmatex/20160420/cm5042937.jpeg,/doi/abs/10.1021/cm5042937
27,2015,10.1021/cm504398d,Chem. Mater.,Anisotropic Multicenter Bonding and High Thermoelectric Performance in Electron-Poor CdSb," (3), pp 1071–1081",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-3/cm504398d/20150204/images/large/cm-2014-04398d_0009.jpeg,"Shanyu Wang, Jiong Yang, Lihua Wu, Ping Wei, Jihui Yang*, Wenqing Zhang, and Yuri Grin",/pb-assets/images/selects/cmatex/20160420/cm504398d.jpeg,/doi/abs/10.1021/cm504398d
27,2015,10.1021/cm5042138,Chem. Mater.,High Thermoelectric Performance of a Heterogeneous PbTe Nanocomposite," (3), pp 944–949",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-3/cm5042138/20150204/images/large/cm-2014-042138_0007.jpeg,"Hongchao Wang, Junphil Hwang, Matthew Loren Snedaker, Il-ho Kim, Chanyoung Kang, Jungwon Kim, Galen D. Stucky, John Bowers, and Woochul Kim*",/pb-assets/images/selects/cmatex/20160420/cm5042138.jpeg,/doi/abs/10.1021/cm5042138
27,2015,10.1021/cm5041826,Chem. Mater.,High Performance α-MgAgSb Thermoelectric Materials for Low Temperature Power Generation," (3), pp 909–913",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-3/cm5041826/20150204/images/large/cm-2014-041826_0007.jpeg,"Pingjun Ying, Xiaohua Liu, Chenguang Fu, Xianqiang Yue, Hanhui Xie, Xinbing Zhao, Wenqing Zhang, and Tiejun Zhu*",/pb-assets/images/selects/cmatex/20160420/cm5041826.jpeg,/doi/abs/10.1021/cm5041826
27,2015,10.1021/cm504112m,Chem. Mater.,Mg Alloying in SnTe Facilitates Valence Band Convergence and Optimizes Thermoelectric Properties," (2), pp 581–587",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-2/cm504112m/20150121/images/large/cm-2014-04112m_0008.jpeg,"Ananya Banik, U. Sandhya Shenoy, Shashwat Anand, Umesh V. Waghmare, and Kanishka Biswas*",/pb-assets/images/selects/cmatex/20160420/cm504112m.jpeg,/doi/abs/10.1021/cm504112m
27,2015,10.1021/cm502570b,Chem. Mater.,Increasing the Thermoelectric Figure of Merit of Tetrahedrites by Co-Doping with Nickel and Zinc," (2), pp 408–413",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-2/cm502570b/20150121/images/large/cm-2014-02570b_0006.jpeg,"Xu Lu, Donald T. Morelli*, Yi Xia, and Vidvuds Ozolins",/pb-assets/images/selects/cmatex/20160420/cm502570b.jpeg,/doi/abs/10.1021/cm502570b
27,2015,10.1021/cm504059t,Chem. Mater.,"Yb<sub>14</sub>MgSb<sub>11</sub> and Ca<sub>14</sub>MgSb<sub>11</sub>—New Mg-Containing Zintl Compounds and Their Structures, Bonding, and Thermoelectric Properties"," (1), pp 343–351",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/cmatex/2015/cmatex.2015.27.issue-1/cm504059t/20150107/images/large/cm-2014-04059t_0007.jpeg,"Yufei Hu, Jian Wang, Airi Kawamura, Kirill Kovnir, and Susan M. Kauzlarich*",/pb-assets/images/selects/cmatex/20160420/cm504059t.jpeg,/doi/abs/10.1021/cm504059t
