journal,title,duration,month-year,date,data-date,description,title1,title2,media-url,author-name1,author-name2,author-name3,doi1,doi2,doi3,special issue title,special-issue-link,other-link,comments
Analytical Chemistry,Interview with Tatyana Polenova,11:32,June 2015,,Date_201506,"Magic Angle Spinning NMR Spectroscopy: A Versatile Technique for Structural and Dynamic Analysis of Solid-Phase Systems Tatyana Polenova, Rupal Gupta and Amir Goldbourt DOI: 10.1021/ac504288u",Magic Angle Spinning NMR Spectroscopy: A Versatile Technique for Structural and Dynamic Analysis of Solid-Phase Systems,,http://pubs.acs.org/subscribe/journals/ancham/audio/analytical_chem_june2015.mp3,"Tatyana Polenova, Rupal Gupta and Amir Goldbourt",,,10.1021/ac504288u,,,,,,
Analytical Chemistry,Interview with Cathelijn J. F. Waaijer,10:39,May 2015,,Date_201505,"Bibliometric Mapping: Eight Decades of Analytical Chemistry, With Special Focus on the Use of Mass Spectrometry Cathelijn J. F. Waaijer and Magnus Palmblad DOI: 10.1021/ac5040314","Bibliometric Mapping: Eight Decades of Analytical Chemistry, With Special Focus on the Use of Mass Spectrometry",,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham_may2015.mp3,Cathelijn J. F. Waaijer and Magnus Palmblad,,,10.1021/ac5040314,,,,,,
Analytical Chemistry,Interview with Mary Wirth & Frank Gomez,17:14,March/April 2015,,Date_201503,"Submicrometer Particles and Slip Flow in Liquid Chromatography Benjamin A. Rogers, Zhen Wu, Bingchuan Wei, Ximo Zhang, Xiang Cao, Oyeleye Alabi, and Mary J. Wirth DOI: 10.1021/ac504683d How Can Chemometrics Improve Microfluidic Research Mehdi Jalali-Heravi, Mary Arrastia, and Frank A. Gomez DOI: 10.1021/ac504863y",Submicrometer Particles and Slip Flow in Liquid Chromatography,How Can Chemometrics Improve Microfluidic Research,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-March-and-April-2015.mp3,"Benjamin A. Rogers, Zhen Wu, Bingchuan Wei, Ximo Zhang, Xiang Cao, Oyeleye Alabi, and Mary J. Wirth","Mehdi Jalali-Heravi, Mary Arrastia, and Frank A. Gomez",,10.1021/ac504683d,10.1021/ac504863y,,,,,
Analytical Chemistry,Interview with Lingjun Li,14:22,February 2015,,Date_201502,"High-Resolution Enabled 12-Plex DiLeu Isobaric Tags for Quantitative Proteomics Dustin C. Frost, Tyler Greer, and Lingjun Li DOI: 10.1021/ac503276z",High-Resolution Enabled 12-Plex DiLeu Isobaric Tags for Quantitative Proteomics,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-February-2015.mp3,"Dustin C. Frost, Tyler Greer, and Lingjun Li",,,10.1021/ac503276z,,,,,,
Analytical Chemistry,Interview with Igor Lednev,12:03,January 2015,,Date_201501,"Vibrational Spectroscopy: Recent Developments to Revolutionize Forensic Science Claire K. Muro, Kyle C. Doty, Justin Bueno, Lenka Halámková, and Igor K. Lednev DOI: 10.1021/ac504068a",Vibrational Spectroscopy: Recent Developments to Revolutionize Forensic Science,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-January-2015.mp3,"Claire K. Muro, Kyle C. Doty, Justin Bueno, Lenka Halámková, and Igor K. Lednev",,,10.1021/ac504068a,,,,,,
Analytical Chemistry,Interview with Greg Webster,5:52,December 2014,,Date_201412,Expanding the Analytical Toolbox: Pharmaceutical Application of Quantitative NMR Gregory K. Webster and Shailendra Kumar DOI: 10.1021/ac502871w,Expanding the Analytical Toolbox: Pharmaceutical Application of Quantitative NMR,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-December-2014.mp3,Gregory K. Webster and Shailendra Kumar,,,10.1021/ac502871w,,,,,,
Analytical Chemistry,Interview with Josh Coon,8:36,November 2014,,Date_201411,"Development of a GC/Quadrupole-Orbitrap Mass SpectrometerPart 1: Design and CharacterizationAmelia C. Peterson, Jan-Peter Hauschild, Scott T. Quarmby, Dirk Krumwiede, Oliver Lange, Rachelle A. S. Lemke, Florian Grosse-Coosmann, Stevan Horning, Timothy J. Donohue, Michael S. Westphall, Joshua J. Coon, and Jens Griep-Raming DOI: 10.1021/ac5014767Part 2: New Approaches for Discovery MetabolomicsAmelia C. Peterson, Allison J. Balloon, Michael S. Westphall, and Joshua J. Coon DOI: 10.1021/ac5014755",Development of a GC/Quadrupole-Orbitrap Mass SpectrometerPart 1: Design and Characterization,Part 2: New Approaches for Discovery Metabolomics,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-November-2014.mp3,"Amelia C. Peterson, Jan-Peter Hauschild, Scott T. Quarmby, Dirk Krumwiede, Oliver Lange, Rachelle A. S. Lemke, Florian Grosse-Coosmann, Stevan Horning, Timothy J. Donohue, Michael S. Westphall, Joshua J. Coon, and Jens Griep-Raming","Amelia C. Peterson, Allison J. Balloon, Michael S. Westphall, and Joshua J. Coon",,10.1021/ac5014767,10.1021/ac5014755,,,,,
Analytical Chemistry,Interview with Dino Di Carlo,12:45,October 2014,,Date_201410,Recipient of the 2014 Analytical Chemistry Young Innovator Award,Recipient of the 2014 Analytical Chemistry Young Innovator Award,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-October-2014.mp3,Dino Di Carlo,,,http://pubs.acs.org/page/ancham/2014YoungInnovator.html,,,,,,
Analytical Chemistry,Interview with Yanyi Huang,12:03,September 2014,,Date_201409,"Nonlinear Optical Microscopy for Quantitative Cellular ImagingAaron M. Streets, Ang Li, Tao Chen, and Yanyi HuangDOI: 10.1021/ac5013706",Nonlinear Optical Microscopy for Quantitative Cellular Imaging,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-September-2014.mp3,"Aaron M. Streets, Ang Li, Tao Chen, and Yanyi Huang",,,10.1021/ac5013706,,,,,,
Analytical Chemistry,Interview with SÃ¸ren Furbo,6:11,August 2014,,Date_201408,"Pixel-based analysis of comprehensive two-dimensional gas chromatograms (color plots) of petroleum: A TutorialSøren Furbo, Asger B. Hansen, Thomas Skov, and Jan H. ChristensenDOI: 10.1021/ac403650d",Pixel-based analysis of comprehensive two-dimensional gas chromatograms (color plots) of petroleum: A Tutorial,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-August-2014.mp3,"Søren Furbo, Asger B. Hansen, Thomas Skov, and Jan H. Christensen",,,10.1021/ac403650d,,,,,,
Analytical Chemistry,Interview with Peter Schoenmakers,6:11,July 2014,,Date_201407,Multi-Dimensional Separations of PolymersPeter Schoenmakers and Petra AarnoutseDOI: 10.1021/ac301162b,Multi-Dimensional Separations of Polymers,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-July-2014.mp3,Peter Schoenmakers and Petra Aarnoutse,,,10.1021/ac301162b,,,,,,
Analytical Chemistry,Interview with Christine Kranz,15:31,June 2014,,Date_201406,Hyphenating Atomic Force MicroscopyAlexander Eifert and Christine KranzDOI: 10.1021/ac5008128,Hyphenating Atomic Force Microscopy,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-June-2014.mp3,Alexander Eifert and Christine Kranz,,,10.1021/ac5008128,,,,,,
Analytical Chemistry,Interview with Kazuma Mawatari,10:13,May 2014,,Date_201405,"Extended-Nanofluidics: Fundamental Technologies, Unique Liquid Properties, and Application in Chemical and Bio Analysis Methods and DevicesKazuma Mawatari, Yutaka Kazoe, Hisashi Shimizu, Yuriy Pihosh, and Takehiko KitamoriDOI: 10.1021/ac4026303","Extended-Nanofluidics: Fundamental Technologies, Unique Liquid Properties, and Application in Chemical and Bio Analysis Methods and Devices",,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-May-2014.mp3,"Kazuma Mawatari, Yutaka Kazoe, Hisashi Shimizu, Yuriy Pihosh, and Takehiko Kitamori",,,10.1021/ac4026303,,,,,,
Analytical Chemistry,Interview with Dana Spence,12:21,April 2014,,Date_201404,"Evaluation of 3D Printing and Its Potential Impact on Biotechnology and the Chemical SciencesBethany C. Gross, Jayda L. Erkal, Sarah Y. Lockwood, Chengpeng Chen, and Dana SpenceDOI: 10.1021/ac403397r",Evaluation of 3D Printing and Its Potential Impact on Biotechnology and the Chemical Sciences,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast2-April-2014-1.mp3,"Bethany C. Gross, Jayda L. Erkal, Sarah Y. Lockwood, Chengpeng Chen, and Dana Spence",,,10.1021/ac403397r,,,,,,
Analytical Chemistry,Interview with Francisco Laborda,9:51,March 2014,,Date_201403,"Single Particle Inductively Coupled Plasma Mass Spectrometry: A Powerful Tool for NanoanalysisFrancisco Laborda, Eduardo Bolea, and Javier Jiménez-LamanaDOI: 10.1021/ac402980q",Single Particle Inductively Coupled Plasma Mass Spectrometry: A Powerful Tool for Nanoanalysis,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast2-March-2014.mp3,"Francisco Laborda, Eduardo Bolea, and Javier Jiménez-Lamana",,,10.1021/ac402980q,,,,,,
Analytical Chemistry,Interview with Heather Clark,5:47,February 2014,,Date_201402,Implantable Nanosensors: Toward Continuous Physiologic MonitoringTimothy T. Ruckh and Heather A. ClarkDOI: 10.1021/ac402688k,Implantable Nanosensors: Toward Continuous Physiologic Monitoring,,http://pubs.acs.org/subscribe/journals/ancham/audio/Analytical-Chemistry-Podcast-February-2014.mp3,Timothy T. Ruckh and Heather A. Clark,,,10.1021/ac402688k,,,,,,
Analytical Chemistry,Interview with Hadi Parastar,11:55,January 2014,,Date_201401,Multivariate Curve Resolution of Hyphenated and Multidimensional Chromatographic Measurements: A New Insight to Address Current Chromatographic ChallengesHadi Parastar and Roma TaulerDOI: 10.1021/ac402377d,Multivariate Curve Resolution of Hyphenated and Multidimensional Chromatographic Measurements: A New Insight to Address Current Chromatographic Challenges,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-010714.mp3,Hadi Parastar and Roma Tauler,,,10.1021/ac402377d,,,,,,
Analytical Chemistry,Interview with Barry Sharp,8:07,December 2013,,Date_201312,"Single Cell Tracking of Gadolinium Labeled CD4+ T Cells by Laser Ablation Inductively Coupled Plasma Mass SpectrometryAmy J. Managh, Sheldon L. Edwards, Andrew Bushell, Kathryn J. Wood, Edward K. Geissler, James A. Hutchinson, Robert W. Hutchinson, Helen J. Reid, and Barry L. SharpDOI: 10.1021/ac4022715",Single Cell Tracking of Gadolinium Labeled CD4+ T Cells by Laser Ablation Inductively Coupled Plasma Mass Spectrometry,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-112613.mp3,"Amy J. Managh, Sheldon L. Edwards, Andrew Bushell, Kathryn J. Wood, Edward K. Geissler, James A. Hutchinson, Robert W. Hutchinson, Helen J. Reid, and Barry L. Sharp",,,10.1021/ac4022715,,,,,,
Analytical Chemistry,Interview with Joachim Pleil,12:21,November 2013,,Date_201311,"Evolution of Environmental Exposure Science: Using Breath-Borne Biomarkers for ""Discovery"" of the Human ExposomeJoachim D. Pleil and Matthew A. StiegelDOI: 10.1021/ac402306f","Evolution of Environmental Exposure Science: Using Breath-Borne Biomarkers for ""Discovery"" of the Human Exposome",,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham_11012013.mp3,Joachim D. Pleil and Matthew A. Stiegel,,,10.1021/ac402306f,,,,,,
Analytical Chemistry,Interview with Hang Lu,6:44,October 2013,,Date_201310,"Enabling Systems Biology Approaches Through Microfabricated SystemsMei Zhan, Loice Chingozha, and Hang LuDOI: 10.1021/ac401472y",Enabling Systems Biology Approaches Through Microfabricated Systems,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham_10012013.mp3,"Mei Zhan, Loice Chingozha, and Hang Lu",,,10.1021/ac401472y,,,,,,
Analytical Chemistry,Interview with Lajos Szente,10:24,September 2013,,Date_201309,Cyclodextrins in Analytical Chemistry: Host–Guest Type Molecular RecognitionLajos Szente and Julianna SzemánDOI: 10.1021/ac400639y,Cyclodextrins in Analytical Chemistry: Host–Guest Type Molecular Recognition,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-090113.mp3,Lajos Szente and Julianna Szemán,,,10.1021/ac400639y,,,,,,
Analytical Chemistry,Interview with Tilman Schaffer and Chris Harrison,13:50,August 2013,,Date_201308,Nanomechanics of Molecules and Living Cells with Scanning Ion ConductanceTilman E. SchÃ¤fferDOI: 10.1021/ac400686k,Nanomechanics of Molecules and Living Cells with Scanning Ion Conductance,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-080113.mp3,Tilman Schäffer and Chris Harrison,,,10.1021/ac400686k,,,,,,
Analytical Chemistry,Interview with Rick Russo,5:17,July 2013,,Date_201307,"Laser Ablation in Analytical ChemistryRichard E. Russo, Xianglei Mao, Jhanis J. Gonzalez, Vassilia Zorba, and Jong YooDOI: 10.1021/ac4005327",Laser Ablation in Analytical Chemistry,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham-072013.mp3,"Richard E. Russo, Xianglei Mao, Jhanis J. Gonzalez, Vassilia Zorba, and Jong Yoo",,,10.1021/ac4005327,,,,,,
Analytical Chemistry,Interview with Roman Zubarev,5:17,June 2013,,Date_201306,Orbitrap Mass SpectrometryRoman A. Zubarev and Alexander MakarovDOI: 10.1021/ac4001223,Orbitrap Mass Spectrometry,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham060113.mp3,Roman A. Zubarev and Alexander Makarov,,,10.1021/ac4001223,,,,,,
Analytical Chemistry,Interview with Robert Hettich,15:03,May 2013,,Date_201305,"Metaproteomics: Harnessing the Power of High Performance Mass Spectrometry to Identify the Suite of Proteins That Control Metabolic Activities in Microbial CommunitiesRobert L. Hettich, Chongle Pan , Karuna Chourey , and Richard J. GiannoneDOI: 10.1021/ac303053e",Metaproteomics: Harnessing the Power of High Performance Mass Spectrometry to Identify the Suite of Proteins That Control Metabolic Activities in Microbial Communities,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham050113.mp3,"Robert L. Hettich, Chongle Pan , Karuna Chourey , and Richard J. Giannone",,,10.1021/ac303053e,,,,,,
Analytical Chemistry,Interview with Michael Bogan,14:40,April 2013,,Date_201304,X-ray Free Electron Lasers Motivate Bioanalytical Characterization of Protein Nanocrystals: Serial Femtosecond CrystallographyMichael J. BoganDOI: 10.1021/ac303716r,X-ray Free Electron Lasers Motivate Bioanalytical Characterization of Protein Nanocrystals: Serial Femtosecond Crystallography,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham040113.mp3,Michael J. Bogan,,,10.1021/ac303716r,,,,,,
Analytical Chemistry,Interview with Julian Whitelegge,8:26,March 2013,,Date_201303,Integral Membrane Proteins and Bilayer ProteomicsJulian P. WhiteleggeDOI: 10.1021/ac303064a,Integral Membrane Proteins and Bilayer Proteomics,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham030113.mp3,Julian P. Whitelegge,,,10.1021/ac303064a,,,,,,
Analytical Chemistry,Interview with David Walt,24:41,February 2013,,Date_201302,Optical Methods for Single Molecule Detection and AnalysisDavid R. WaltDOI: 10.1021/ac3027178,Optical Methods for Single Molecule Detection and Analysis,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham020113.mp3,David Walt,,,10.1021/ac3027178,,,,,,
Analytical Chemistry,Interview with Lars Konermann,10:50,January 2013,,Date_201301,"Unraveling the Mechanism of Electrospray IonizationLars Konermann, Elias Ahadi , Antony D. Rodriguez , and Siavash VahidiDOI: 10.1021/ac302789c",Unraveling the Mechanism of Electrospray Ionization,,http://pubs.acs.org/subscribe/journals/ancham/audio/ancham010113.mp3,"Lars Konermann, Elias Ahadi , Antony D. Rodriguez , and Siavash Vahidi",,,10.1021/ac3027178,,,,,,
