Volume,Year,DOI,Journal,Title,Issue-info,toc_href,Authors,Image,article-link
49,2016,10.1021/acs.accounts.6b00050,Acc. Chem. Res.,Elucidation of Mechanisms and Selectivities of Metal-Catalyzed Reactions using Quantum Chemical Methodology," (5), pp 1006–1018",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00050/20160511/images/large/ar-2016-00050v_0020.jpeg,"Stefano Santoro, Marcin Kalek, Genping Huang, and Fahmi Himo*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00050.jpeg,/doi/abs/10.1021/acs.accounts.6b00050
49,2016,10.1021/acs.accounts.6b00053,Acc. Chem. Res.,Transition State Models for Understanding the Origin of Chiral Induction in Asymmetric Catalysis," (5), pp 1019–1028",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00053/20160511/images/large/ar-2016-000536_0015.jpeg,Raghavan B. Sunoj*,/pb-assets/images/selects/achre4/20160623/acsaccounts6b00053.jpeg,/doi/abs/10.1021/acs.accounts.6b00053
49,2016,10.1021/acs.accounts.6b00052,Acc. Chem. Res.,A Practical Guide for Predicting the Stereochemistry of Bifunctional Phosphoric Acid Catalyzed Reactions of Imines," (5), pp 1029–1041",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00052/20160511/images/large/ar-2016-00052w_0004.jpeg,"Jolene P. Reid, Luis Simón, and Jonathan M. Goodman*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00052.jpeg,/doi/abs/10.1021/acs.accounts.6b00052
49,2016,10.1021/acs.accounts.6b00084,Acc. Chem. Res.,Catalytic Control in Cyclizations: From Computational Mechanistic Understanding to Selectivity Prediction," (5), pp 1042–1051",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00084/20160511/images/large/ar-2016-00084k_0015.jpeg,Qian Peng* and Robert S. Paton,/pb-assets/images/selects/achre4/20160623/acsaccounts6b00084.jpeg,/doi/abs/10.1021/acs.accounts.6b00084
49,2016,10.1021/acs.accounts.6b00085,Acc. Chem. Res.,Designing Sequence Selectivity into a Ring-Opening Metathesis Polymerization Catalyst," (5), pp 1052–1060",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00085/20160511/images/large/ar-2016-00085t_0008.jpeg,Peter Chen*,/pb-assets/images/selects/achre4/20160623/acsaccounts6b00085.jpeg,/doi/abs/10.1021/acs.accounts.6b00085
49,2016,10.1021/acs.accounts.6b00096,Acc. Chem. Res.,Noncovalent Interactions in Organocatalysis and the Prospect of Computational Catalyst Design," (5), pp 1061–1069",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00096/20160511/images/large/ar-2016-00096d_0012.jpeg,"Steven E. Wheeler*, Trevor J. Seguin, Yanfei Guan, and Analise C. Doney",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00096.jpeg,/doi/abs/10.1021/acs.accounts.6b00096
49,2016,10.1021/acs.accounts.6b00099,Acc. Chem. Res.,Deciphering Selectivity in Organic Reactions: A Multifaceted Problem," (5), pp 1070–1078",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-5/acs.accounts.6b00099/20160511/images/large/ar-2016-00099q_0017.jpeg,"David Balcells, Eric Clot, Odile Eisenstein*, Ainara Nova, and Lionel Perrin",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00099.jpeg,/doi/abs/10.1021/acs.accounts.6b00099
49,2016,10.1021/acs.accounts.6b00006,Acc. Chem. Res.,Theory and Modeling of Asymmetric Catalytic Reactions," (4), pp 750–762",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-4/acs.accounts.6b00006/20160413/images/large/ar-2016-00006c_0026.jpeg,"Yu-hong Lam, Matthew N. Grayson, Mareike C. Holland, Adam Simon, and K. N. Houk*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00006.jpeg,/doi/abs/10.1021/acs.accounts.6b00006
49,2016,10.1021/acs.accounts.6b00023,Acc. Chem. Res.,Computational Catalysis Using the Artificial Force Induced Reaction Method," (4), pp 763–773",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-4/acs.accounts.6b00023/20160413/images/large/ar-2016-00023k_0019.jpeg,"W. M. C. Sameera, Satoshi Maeda, and Keiji Morokuma*",/pb-assets/images/selects/achre4/20160623/acsaccounts6b00023.jpeg,/doi/abs/10.1021/acs.accounts.6b00023
49,2016,10.1021/acs.accounts.6b00029,Acc. Chem. Res.,Speeding Up Sigmatropic Shifts—To Halve or to Hold," (4), pp 741–749",http://pubs.acs.org/appl/literatum/publisher/achs/journals/content/achre4/2016/achre4.2016.49.issue-4/acs.accounts.6b00029/20160413/images/large/ar-2016-000294_0017.jpeg,Dean J. Tantillo*,/pb-assets/images/selects/achre4/20160623/acsaccounts6b00029.jpeg,/doi/abs/10.1021/acs.accounts.6b00029
