journal,title,duration,month-year,date,data-date,description,media-url,author-name1,author-name2,author-name3,author-sentence,doi1,doi2,doi3,special issue title,special-issue-link,other-link,comments
ACS Polymer Science,ACS Polymer Science Podcast - July 2014,11:05,July 2014,,Date_201407,"Managing Editor, Paulomi Majumder, interviews Professors Sebastien Perrier and Zhiyuan Zhong, winners of the 2014 Biomacromolecules/ Macromolecules Young Investigator Award sponsored by the journals ACS Macro Letters, Biomacromolecules, and Macromolecules in partnership with the ACS Division of Polymer Chemistry. ",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-July-2014.mp3,Sebastien Perrier,Zhiyuan Zhong,,Sebastien Perrier and Zhiyuan Zhong,,,,,,http://pubs.acs.org/page/pr/awards/biomac-macro-young-investigator-2014.html?ref=highlight,
ACS Polymer Science,ACS Polymer Science Podcast - June 2014,17:55,June 2014,,Date_201406,"Managing Editor, Paulomi Majumder, interviews Dr. Manfred Hoffman about his Viewpoint article published in ACS Macro Letters on 3D printing technology for manufacturing and Brendan Watson, whose article with Professor Antonios Mikos on a novel injectable hydrogel for bone tissue engineering was published in Biomacromolecules. ",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-June-2014.mp3,Manfred Hoffman,Brendan Watson,,Manfred Hoffman and Brendan Watson,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - May 2014,21:45,May 2014,,Date_201405,"Managing Editor, Paulomi Majumder, interviews Professor Scott Phillips about his Viewpoint article published in ACS Macro Letters on a new class of depolymerizable polymers capable of providing amplified responses and Professor Brad Carrow, whose Perspective on transition metal catalysis for functional polyolefin synthesis was published in Macromolecules.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-May-2014.mp3,Scott Phillips,Brad Carrow,,Scott Phillips and Brad Carrow,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - April 2014,16:20,April 2014,,Date_201404,"Managing Editor, Paulomi Majumder, interviews Professor David Bergbreiter about his Viewpoint article published in ACS Macro Letters on the use of soluble polymers in catalytic processes and Professor Kevin Edgar, whose Review article on the bioactive polysaccharide, curdlan, was published in Biomacromolecules.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-April-2014.mp3,David Bergbreiter,Kevin Edgar,,David Bergbreiter and Kevin Edgar,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - March 2014,14:13,March 2014,,Date_201403,"Managing Editor, Paulomi Majumder, interviews Professor Alfredo Alexander-Katz about his Perspective published in Macromolecules on novel polymeric materials inspired in the process of blood clotting and Christopher Madl, whose article along with Professor David Mooney, on addressing the challenges faced in controlling the fate of transplanted stem cells was published in Biomacromolecules.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-March-2014.mp3,Alfredo Alexander-Katz,Christopher Madl,,Alfredo Alexander-Katz and Christopher Madl,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - February 2014,12:38,February 2014,,Date_201402,"Managing Editor, Paulomi Majumder, interviews Professor Thomas Epps about his article published in Macromolecules on the use of block copolymers in nanotechnology and Professor Cornelia Palivan, whose Viewpoint with Professor Wolfgang Meier on planar artificial biomimetic membranes is published in ACS Macro Letters.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-February-2014.mp3,Thomas Epps,Cornelia Palivan,,Thomas Epps and Cornelia Palivan,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - January 2014,13:41,January 2014,,Date_201401,"Managing Editor, Paulomi Majumder, interviews Professor Xinqiao Jia about her article published in Biomacromolecules on hydrogels containing drug depots with possible applications for osteoarthritis therapy and Professor Russell Composto, whose Perspective on functional polymer nanocomposites enhanced by nanorods is published in Macromolecules.",http://pubs.acs.org/subscribe/journals/mamobx/audio/ACS-Polymer-Science-Podcast-January-2014.mp3,Xinqiao Jia,Russell Composto,,Xinqiao Jia and Russell Composto,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast - December 2013,10:09,December 2013,,Date_201312,"Managing Editor, Paulomi Majumder, interviews Professor Orlando Rojas regarding his article published in Biomacromolecules on bioactive cellulose nanofibrils with specific affinity for human immunoglobulin and Professor Ryan Hayward, the newest Associate Editor of ACS Macro Letters about his role with the journal.",http://pubs.acs.org/subscribe/journals/bomaf6/audio/polymer-1213.mp3,Orlando Rojas,Ryan Hayward,,Orlando Rojas and Ryan Hayward,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast Series - November 2013,17:03,November 2013,,Date_201311,"Managing Editor, Paulomi Majumder, interviews Professor Christine Luscombe regarding her Perspective published in Macromolecules on CH arylation for more efficient and eco-friendly synthesis of π-conjugated materials used in the fabrication of organic electronic devices and Professor Kristi Kiick on her Viewpoint published in ACS Macro Letters about the use of resilin-based materials for biomedical applications.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer_science_201311.mp3,Christine Luscombe,Kristi Klick,,Christine Luscombe and Kristi Klick,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast Series - October 2013,16:09,October 2013,,Date_201310,"Managing Editor, Paulomi Majumder, interviews Professor Jodie Lutkenhaus about her Viewpoint on the use of polymers in electrochemical energy storage published in ACS Macro Letters and Professor Sébastien Lecommandoux, Associate Editor of Biomacromolecules, about his Review article on preparation of synthetic glycopolypeptides in Biomacromolecules.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer_science_201310.mp3,Jodie Lutkenhaus,Sébastien Lecommandoux,,Jodie Lutkenhaus and Sébastien Lecommandoux,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast Series - September 2013,11:33,September 2013,,Date_201309,"Managing Editor, Paulomi Majumder, interviews Professors Raffaele Mezzenga & David M. Lynn, winners of the inaugural Biomacromolecules/Macromolecules Young Investigator Award sponsored by Biomacromolecules, Macromolecules and ACS Macro Letters in partnership with the ACS Division of Polymer Chemistry.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer_science_201309.mp3,Raffaele Mezzenga,David M. Lynn,,Raffaele Mezzenga and David M. Lynn,,,,,,http://pubs.acs.org/page/pr/awards/biomac-macro-young-investigator.html,
ACS Polymer Science,ACS Polymer Science Podcast Series - August 2013,20:35,August 2013,,Date_201308,This month we are highlighting a Perspective article on the performance of solar cells by Professor Alberto Salleo published in Macromolecules and Professor Stephen A. Miller's Viewpoint article on sustainable polymers published in ACS Macro Letters.,http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer_science_201308.mp3,Alberto Salleo,,,Alberto Salleo,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast Series - July 2013,17:32,July 2013,,Date_201307,"We start this inaugural podcast series by highlighting two articles that have recently received attention in the press. Join us and hear from Prof. Jaime C. Grunlan who published in ACS Macro Letters and was covered by Chemical & Engineering News magazine and Prof. Marek W. Urban, who published in Biomacromolecules, and received press coverage from The Economist.",http://pubs.acs.org/subscribe/journals/mamobx/audio/polymer_science_201307.mp3,Jaime Grunlan,Marek Urban,,Jaime Grunlan and Marek Urban,,,,,,,
ACS Polymer Science,ACS Polymer Science Podcast Series - December 2012,09:30,December 2012,,Date_201212,Managing Editor Paulomi Majumder interviews Editor-in-Chief Ann-Christine Albertsson about the new Virtual Special Issue focusing on recent research advances in bio-based products and their importance to the community.,/subscribe/journals/bomaf6/audio/frontiers-vsi.mp3,Ann-Christine Albertsson,,,Ann-Christine Albertsson,,,,,,,
